100636	akrostikon	 subst.	akrostikon
100637	akryl	 subst.	akryl
100637	akrylfärg		akryl
100637	akrylgarn		akryl
100637	akryltröja		akryl
100638	akrylamid	 subst.	akrylamid
100642_1	aggressionsakt		akt
100642_1	akt	 subst.	akt
100642_1	aktbilaga		akt
100642_1	aktindelning		akt
100642_1	aktstudie		akt
100642_1	disputationsakt		akt
100642_1	dopakt		akt
100642_1	könsakt		akt
100642_1	mellanakt		akt
100642_1	personakt		akt
100642_1	vigselakt		akt
100642_2	akt	 subst.	akt
100643	akta	 verb	akta
100644	akta sig	 verb	akta sig
100646_1	akter	 subst.	akter
100646_1	akterdäck		akter
100646_1	akterstag		akter
100646_2	akter	 adv.	akter
100647	akter ut	 adv.	akter ut
100648	akterdel	 subst.	akterdel
100651	akterlig	 adj.	akterlig
100653	akterseglad	 adj.	akterseglad
100654	akterskepp	 subst.	akterskepp
100657	aktersnurra	 subst.	aktersnurra
100659	akterspegel	 subst.	akterspegel
100662	akterst	 adj.	akterst
100666	akterut	 adv.	akterut
100667	akteröver	 adv.	akteröver
100668	A-aktie		aktie
100668	aktie	 subst.	aktie
100668	aktieplacering		aktie
100668	aktieslag		aktie
100668	preferensaktie		aktie
100668	stamaktie		aktie
100670	aktiebok	 subst.	aktiebok
100671	AB		aktiebolag
100671	aktiebolag	 subst.	aktiebolag
100671	aktiebolagslag		aktiebolag
100674	aktiebrev	 subst.	aktiebrev
100675	aktieemission	 subst.	aktieemission
100677	aktiefond	 subst.	aktiefond
100679	aktiekapital	 subst.	aktiekapital
100682	aktiekurs	 subst.	aktiekurs
100683	aktiemajoritet	 subst.	aktiemajoritet
100686	aktieportfölj	 subst.	aktieportfölj
100688	aktiepost	 subst.	aktiepost
100691	aktiesparande	 subst.	aktiesparande
100694	aktiesparklubb	 subst.	aktiesparklubb
100695	aktiestock	 subst.	aktiestock
100698	aktieutdelning	 subst.	aktieutdelning
100699	aktievinst	 subst.	aktievinst
100700	aktieägare	 subst.	aktieägare
100701	-aktig	 adj.	-aktig
100701	blyaktig		-aktig
100701	blåaktig		-aktig
100701	delaktig		-aktig
100701	dåraktig		-aktig
100701	glasaktig		-aktig
100701	kalkaktig		-aktig
100701	livaktig		-aktig
100701	läraktig		-aktig
100701	lögnaktig		-aktig
100701	nöjaktig		-aktig
100701	pojkaktig		-aktig
100701	skvalleraktig		-aktig
100701	slösaktig		-aktig
100701	snobbaktig		-aktig
100701	svinaktig		-aktig
100701	sötaktig		-aktig
100701	tjänstaktig		-aktig
100701	tvivelaktig		-aktig
100701	urskogsaktig		-aktig
100701	varaktig		-aktig
100703	Ac		aktinium
100703	aktinium	 subst.	aktinium
100704	aktion	 subst.	aktion
100704	aktionsradie		aktion
100704	protestaktion		aktion
100704	upprensningsaktion		aktion
100705	aktionsart	 subst.	aktionsart
100706	aktionsgrupp	 subst.	aktionsgrupp
100707	aktionsradie	 subst.	aktionsradie
100710	aktionssätt	 subst.	aktionssätt
100711_1	aktiv	 adj.	aktiv
100711_1	nattaktiv		aktiv
100711_1	radioaktiv		aktiv
100711_2	aktiv	 subst.	aktiv
100712	aktiva	 subst.	aktiva
100713	aktivera	 verb	aktivera
100713	aktivist		aktivera
100714	aktivism	 subst.	aktivism
100714	fredsaktivism		aktivism
100714	kroppsaktivism		aktivism
100714	mensaktivism		aktivism
100714	miljöaktivism		aktivism
100714	språkaktivism		aktivism
100715	aktivist	 subst.	aktivist
100715	aktivistgrupp		aktivist
100715	djurrättsaktivist		aktivist
100715	fredsaktivist		aktivist
100715	klimataktivist		aktivist
100715	kroppsaktivist		aktivist
100715	mensaktivist		aktivist
100715	miljöaktivist		aktivist
100715	nätaktivist		aktivist
100715	tyskaktivist		aktivist
100718	aktivitet	 subst.	aktivitet
100718	aktivitetsstöd		aktivitet
100718	allaktivitet		aktivitet
100718	elevaktivitet		aktivitet
100719	aktivitetsarmband	 subst.	aktivitetsarmband
100720	aktivitetsbaserad	 adj.	aktivitetsbaserad
100721	aktivitetsbidrag	 subst.	aktivitetsbidrag
100722	aktivitetsersättning	 subst.	aktivitetsersättning
100723	aktivitetsgaranti	 subst.	aktivitetsgaranti
100725	aktivum	 subst.	aktivum
100726	aktning	 subst.	aktning
100727	aktningsfull	 adj.	aktningsfull
100728	aktningsvärd	 adj.	aktningsvärd
100729	aktra	 adj.	aktra
